Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
AI Engineer - Experienced,Senior-Level,4-7 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,"Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines",AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,5-8 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,5-9 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models exposure; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Assist in prompt design for AI models; Evaluate prompt outcomes; Support AI/data science team tasks; Document experiments; Learn NLP libraries; Assist in integration of prompts into AI applications,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP introduction; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Collaboration; Creativity; Problem-solving; Communication,Write and test AI prompts; Support NLP tasks; Collaborate with AI/data science teams; Document prompt testing results; Assist with AI model integration; Learn and apply AI frameworks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT model basics; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Teamwork; Creativity,Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Introductory NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Write and refine prompts for AI models; Support NLP and data analysis tasks; Collaborate with AI/data teams; Document prompt results and learnings; Assist in AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT intro; TensorFlow basics; PyTorch basics; Communication; Teamwork; Problem-solving; Creativity,Assist in prompt creation for AI models; Test prompt performance; Collaborate with AI/data teams; Document experiments; Support AI model integration and evaluation,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Communication; Creativity,Write and test AI prompts; Assist NLP-related tasks; Collaborate with AI/data teams; Document prompt results; Support AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT basics; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Assist in prompt design and testing; Collaborate with AI/data science teams; Document prompt experiments; Learn prompt optimization techniques; Support AI integration projects,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Creativity; Communication,Assist in AI prompt creation and testing; Support NLP tasks; Collaborate with AI/data science teams; Document prompt outcomes; Help integrate prompts with AI models,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI Prompt Engineer,Experienced,3+,"Advanced Python; JavaScript advanced; Deep NLP expertise; Hugging Face Transformers; TensorFlow; PyTorch; Advanced prompt design (chain-of-thought, iterative optimization); OpenAI API; Azure Cognitive Services; Machine learning for prompt tuning; Data analysis; Collaboration; Problem-solving; Leadership; Creativity",Design and optimize prompts for LLMs; Apply advanced NLP techniques for prompt tuning; Collaborate with AI and data science teams; Implement AI model evaluation metrics; Develop prompt optimization strategies; Lead prompt-related projects; Mentor junior prompt engineers,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration; AI Ethics; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Python advanced; JavaScript; NLP frameworks; Hugging Face Transformers; PyTorch; TensorFlow; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Machine learning analysis; Data visualization; Leadership; Problem-solving; Collaboration,Develop and fine-tune AI prompts; Lead prompt optimization initiatives; Collaborate with AI/data science teams for deployment; Design prompt evaluation metrics; Document prompt design patterns; Mentor junior engineers on prompt engineering best practices,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt design; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Critical thinking; Communication; Creativity,Lead prompt engineering efforts; Optimize prompt performance for LLMs; Collaborate with cross-functional AI teams; Implement prompt testing strategies; Provide mentorship on prompt engineering; Document prompt design improvements,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Advanced Python; JavaScript; NLP techniques; TensorFlow; PyTorch; Hugging Face; Prompt iterative optimization; Chain-of-thought prompting; API integration (OpenAI/Azure); Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Design advanced prompts for AI models; Perform prompt evaluation and tuning; Collaborate with AI teams for integration; Implement metrics for prompt effectiveness; Lead knowledge sharing sessions on prompt engineering,Prompt Optimization; LLM; Python; AI Frameworks; API Integration; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt optimization techniques; Chain-of-thought prompts; LLM tuning; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Problem-solving; Collaboration; Creativity,Lead development of AI prompt strategies; Optimize prompts for large-scale AI models; Mentor junior prompt engineers; Collaborate with AI and data teams; Document best practices for prompt design; Perform metrics-driven analysis of prompt effectiveness,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
AI Prompt Engineer,Experienced,3+,Python; JavaScript; Advanced NLP; TensorFlow; PyTorch; Hugging Face; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity,Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face Transformers; TensorFlow; PyTorch; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Problem-solving; Creativity; Critical thinking,Lead prompt optimization projects; Evaluate prompt performance; Collaborate with cross-functional teams; Mentor junior engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face; PyTorch; TensorFlow; Prompt design optimization; Chain-of-thought prompting; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,"Design, test, and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI teams; Document best practices; Mentor junior engineers; Analyze prompt performance metrics",Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; TensorFlow; PyTorch; Prompt optimization techniques; Chain-of-thought prompts; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Develop and refine prompts for LLMs; Collaborate with AI/data teams; Lead prompt engineering projects; Mentor junior prompt engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Lead prompt optimization projects; Design and refine prompts for AI models; Collaborate with cross-functional AI teams; Mentor junior engineers; Document prompt best practices; Implement evaluation metrics for prompt effectiveness,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
Junior Android Engineer,Fresher,0,Java; Kotlin; Android Studio; XML; SQLite; UI/UX Basics; Git; REST APIs,Build simple Android app screens with proper layout.; Implement basic app features using Java/Kotlin.; Follow MVC pattern under guidance.; Test functionality using unit tests.; Document code and participate in team reviews.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
Lead Android Engineer,Experienced,4-5 years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Room; Firebase; Dagger; Performance Optimization; CI/CD,Architect and lead Android app development projects.; Implement MVVM and modular design patterns.; Optimize app memory and multi-threading performance.; Integrate cloud services like Firebase for analytics and messaging.; Mentor team members and ensure high code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
Android Solutions Engineer,Experienced,3-5 years,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Jetpack; Room; REST APIs; Firebase; CI/CD; Unit Testing,"Design and implement efficient Android apps.; Integrate REST APIs, Jetpack components, and Room database.; Ensure smooth app performance and memory optimization.; Lead CI/CD pipeline implementation and automated testing.; Collaborate with cross-functional teams for product delivery.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
Senior Android Engineer,Experienced,4-6 years,Java; Kotlin; Android Studio; MVVM; Jetpack; Clean Architecture; Firebase; Dagger; Room; CI/CD; Unit Testing,Develop and maintain large-scale Android apps.; Implement modular MVVM architecture with Jetpack libraries.; Optimize app performance and reduce crash rates.; Integrate REST APIs and cloud services.; Mentor team members and review code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
Principal Android Engineer,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization,"Set technical standards for Android apps across teams.; Oversee advanced app development, CI/CD, and testing processes.; Optimize app performance and maintain crash-free releases.; Mentor senior and junior engineers on architecture and coding standards.; Drive Android project delivery with measurable KPIs.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
Junior Cloud Engineer,Fresher,0-1,Cloud networking; Docker basics; Kubernetes fundamentals; CI/CD introduction; Python scripting,Work on basic automation tasks; Assist in CI/CD pipeline setup; Support in monitoring cloud resources; Write simple scripts for automation,CI/CD; Cloud Computing; Docker; Kubernetes; Automation; Scripting; AWS; Azure
Cloud Engineer,Experienced,3,AWS; Azure; Kubernetes; Terraform; Python scripting; CI/CD pipelines; Cloud security compliance,Design scalable cloud infrastructure; Automate deployments using Terraform; Implement CI/CD pipelines; Collaborate on security compliance projects,Cloud Architecture; AWS; Azure; Terraform; Kubernetes; CI/CD; Automation; Python; Cloud Security
Cloud Automation Engineer,Experienced,5,Terraform; CloudFormation; Ansible; AWS; Python; Kubernetes,Automate infrastructure provisioning; Maintain Infrastructure as Code; Support scaling workloads,Automation; Terraform; CloudFormation; Ansible; AWS; Python; IaC
Cloud Engineer - Fresher,Entry-Level,0-1 year,"AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker basics; Kubernetes basics; Python; Bash; Shell scripting; Jenkins; GitHub Actions; AWS CodePipeline; Monitoring: CloudWatch, Prometheus, Azure Monitor; VPC; VPN; IAM basics; Git/GitHub/GitLab",Assist in deploying and managing cloud resources; Support basic automation and containerization; Implement CI/CD pipeline setups; Support cloud deployments for training or academic projects; Collaborate with team members; Create basic infrastructure scripts,Cloud; DevOps; Infrastructure; Fresher; Entry-Level; Remote; AWS; Azure; GCP
Cloud Engineer - Fresher,Entry-Level,0-1 year,AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker/Kubernetes fundamentals; Python; Bash; Jenkins; GitHub Actions; CloudWatch; Prometheus; Git,Deploy cloud resources under guidance; Assist in containerization with Docker; Implement CI/CD pipelines for learning projects; Support cloud infrastructure deployments; Collaborate on academic or personal projects,Cloud; DevOps; Fresher; Entry-Level; Remote; Bangalore; Automation; Containerization
Cloud Engineer - Fresher,Entry-Level,0-1 year,"AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker basics; Kubernetes basics; Python; Bash; Jenkins; AWS CodePipeline; Monitoring: CloudWatch, Azure Monitor; Git/GitHub",Support cloud deployments; Implement infrastructure automation; Containerize applications with guidance; Assist in CI/CD pipeline setups; Collaborate in academic/cloud lab projects,Cloud; Infrastructure; Entry-Level; Fresher; Remote; DevOps; AWS; Azure; GCP
Cloud Engineer - Fresher,Entry-Level,0-1 year,AWS basics; Azure basics; GCP basics; Terraform/CloudFormation awareness; Docker/Kubernetes; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring fundamentals; Git,Assist in deploying cloud resources; Create basic automation scripts; Support containerized app deployments; Collaborate on academic or personal projects,Cloud; DevOps; Entry-Level; Fresher; Hyderabad; Remote; Containerization
Cloud Engineer - Fresher,Entry-Level,0-1 year,"AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes; Python/Bash scripting; Jenkins; AWS CodePipeline; Monitoring: CloudWatch, Prometheus; Git",Implement basic cloud deployments; Manage infrastructure scripts; Containerize applications for training or academic projects; Collaborate in teamwork projects,Cloud; Infrastructure; Entry-Level; Fresher; Pune; Remote; DevOps
Cloud Engineer - Fresher,Entry-Level,0-1 year,"AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes fundamentals; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring: CloudWatch, Azure Monitor; Git/GitHub",Assist in deploying cloud services; Containerize apps; Implement basic CI/CD pipelines; Monitor resource usage; Collaborate with team members,Cloud; DevOps; Entry-Level; Fresher; Chennai; Remote; Automation
Cloud Engineer - Fresher,Entry-Level,0-1 year,AWS basics; Azure basics; GCP basics; Terraform/CloudFormation knowledge; Docker/Kubernetes; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring fundamentals; Git,Support basic cloud infrastructure deployments; Automate scripting tasks; Setup containerized applications; Collaborate on academic or online lab projects,Cloud; Infrastructure; Entry-Level; Fresher; Remote; DevOps
Cloud Engineer - Fresher,Entry-Level,0-1 year,"AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes fundamentals; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring: CloudWatch, Prometheus; Git/GitHub",Assist in creating basic cloud infrastructure; Deploy applications; Implement CI/CD pipelines; Collaborate on projects,Cloud; DevOps; Entry-Level; Fresher; Remote; Automation
Cloud Engineer - Fresher,Entry-Level,0-1 year,AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker/Kubernetes; Python/Bash scripting; Jenkins/GitHub Actions; Monitoring fundamentals; Git,Deploy cloud resources under guidance; Write basic automation scripts; Assist in containerized application setup; Collaborate on academic/bootcamp projects,Cloud; Infrastructure; Entry-Level; Fresher; Bangalore; Remote; DevOps
Cloud Engineer - Experienced,Senior-Level,4-8 years,"AWS advanced; Azure advanced; GCP advanced; Terraform; CloudFormation; Ansible; Kubernetes; Helm; Docker Swarm; Jenkins; GitLab CI; CircleCI; Cloud Security: IAM, RBAC, encryption, compliance; Monitoring & Logging: CloudWatch, Prometheus, ELK; Networking: VPC, load balancers, DNS, firewall rules; Python; Bash; PowerShell; Database & Storage: SQL, NoSQL, S3, Azure Blob Storage","Architect, deploy, and manage scalable cloud infrastructure; Lead automation and CI/CD pipelines; Implement advanced cloud security practices; Mentor junior engineers; Collaborate cross-team",Cloud; Infrastructure; DevOps; Senior-Level; Remote; AWS; Azure; GCP; Automation; Containerization
Cloud Engineer - Experienced,Senior-Level,5-9 years,"AWS advanced; Azure advanced; GCP advanced; Terraform/CloudFormation/Ansible; Kubernetes; Helm; Docker Swarm; CI/CD: Jenkins, GitLab CI, CircleCI; Cloud Security; Monitoring/Logging: CloudWatch, Prometheus, ELK; Networking; Python/Bash/PowerShell; SQL, NoSQL, S3, Azure Blob",Design and manage multi-region cloud solutions; Automate infrastructure; Lead cloud migration projects; Mentor junior engineers; Ensure security and compliance,Cloud; Infrastructure; Senior-Level; Remote; AWS; Azure; GCP; Automation; DevOps
Cloud Engineer - Experienced,Senior-Level,5-8 years,"AWS advanced; Azure advanced; GCP advanced; Terraform; CloudFormation; Ansible; Kubernetes; Helm; Docker Swarm; CI/CD: Jenkins, GitLab CI, CircleCI; Cloud Security; Monitoring: CloudWatch, Prometheus, ELK; Networking & Storage; Python; Bash; PowerShell",Lead cloud architecture design; Implement scalable CI/CD pipelines; Ensure DevSecOps compliance; Monitor cloud infrastructure; Mentor team members,Cloud; Infrastructure; Senior-Level; Remote; AWS; Azure; GCP; CI/CD; Security
Cloud Engineer - Experienced,Senior-Level,6+ years,"AWS advanced; Azure advanced; GCP advanced; Terraform; CloudFormation; Ansible; Docker/Kubernetes; Helm; CI/CD: Jenkins, GitLab CI, CircleCI; Cloud Security; Monitoring: CloudWatch, Prometheus, ELK; Networking; Storage; Python/Bash/PowerShell",Architect multi-region cloud solutions; Implement automation and monitoring; Secure cloud environments; Lead cloud engineering teams,Cloud; Infrastructure; Senior-Level; Remote; AWS; Azure; GCP; Automation; Security
